indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_gba_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual,ipc_ng_nacional_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_gba_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_pampeana_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_nea_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_noa_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_cuyo_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_patagonia_tasa_variacion_acumulada_dic_ano_anterior
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,
2017-01-01,101.5859,101.313,101.7874,101.6727,101.6014,101.7074,102.5593,0.015858999999999845,0.013130000000000086,0.017873999999999945,0.01672700000000016,0.016013999999999973,0.017074000000000034,0.025592999999999977,0.015858999999999845,0.013130000000000086,0.017873999999999945,0.01672700000000016,0.016013999999999973,0.017074000000000034,0.025592999999999977
2017-02-01,103.6859,103.8085,103.5312,103.4617,103.7115,103.2652,104.2827,0.020672160211210544,0.024631587259285492,0.017131786449010367,0.017595677108997565,0.02076841460846013,0.015316486312696886,0.016803936844342893,0.036858999999999975,0.038084999999999924,0.03531200000000001,0.0346169999999999,0.03711500000000001,0.0326519999999999,0.04282699999999995
2017-03-01,106.1476,106.2627,105.8173,105.988,107.055,105.9238,106.5167,0.023741897403600554,0.023641609309449585,0.02208126632358165,0.024417731392389674,0.03223846921508233,0.025745362426064178,0.02142253700757646,0.061475999999999864,0.06262699999999999,0.05817300000000003,0.05987999999999993,0.07055000000000011,0.0592379999999999,0.06516699999999997
2017-04-01,108.9667,109.0613,108.6912,108.3473,109.9626,109.4506,108.6517,0.026558301836310916,0.02633661670557963,0.02715907512287674,0.022260067177416465,0.027159871094297294,0.033295633275996384,0.02004380533756689,0.08966699999999994,0.09061300000000005,0.08691199999999988,0.08347300000000013,0.09962599999999999,0.09450599999999998,0.08651699999999996
2017-05-01,110.5301,110.4607,110.3005,110.4331,111.636,111.3091,110.4897,0.014347502493881281,0.012831315966341794,0.014806166460578307,0.01925105655609305,0.015217901359189323,0.016980263242047267,0.0169164403318125,0.10530100000000009,0.10460700000000012,0.10300500000000001,0.10433099999999995,0.11636000000000002,0.11309100000000005,0.10489700000000002
2017-06-01,111.8477,111.9943,111.4058,111.9403,112.6924,112.4298,111.7051,0.011920734713892323,0.013883670844019536,0.010020806795980164,0.0136480819609337,0.00946289727328109,0.010068359190757992,0.011000120373211297,0.11847699999999994,0.11994299999999991,0.11405799999999999,0.11940299999999993,0.12692400000000004,0.12429800000000002,0.11705100000000002
2017-07-01,113.7852,113.9199,113.5783,113.3741,114.2857,114.0184,113.3785,0.017322662871029015,0.017193732181012722,0.01950078003120126,0.012808613162551774,0.014138486712502285,0.014129705825323802,0.014980515661326077,0.13785200000000009,0.13919900000000007,0.135783,0.1337409999999999,0.142857,0.1401840000000001,0.13378500000000004
2017-08-01,115.3819,115.6031,115.0905,114.6809,115.7385,115.5674,115.3036,0.014032580687119323,0.014775293868762196,0.013314163004728874,0.011526442106265744,0.0127120015890001,0.013585526546592508,0.01697940967643774,0.15381899999999993,0.15603100000000003,0.15090500000000007,0.14680899999999997,0.1573850000000001,0.1556740000000001,0.15303599999999995
2017-09-01,117.5719,117.9656,117.2947,116.1702,117.7781,117.5777,116.7945,0.01898044667317844,0.020436303178720916,0.01915188482107566,0.012986469412081592,0.01762248517131293,0.01739504393107394,0.012930212066232016,0.17571899999999996,0.17965600000000004,0.17294699999999996,0.161702,0.17778099999999997,0.17577699999999985,0.167945
2017-10-01,119.3528,119.4985,119.272,117.9026,119.9939,119.5964,118.7072,0.015147326869770827,0.012994466183362086,0.016857539172699276,0.014912602371348394,0.01881334475594354,0.017169072026413268,0.016376627324060644,0.19352799999999992,0.19498499999999996,0.19272,0.17902600000000013,0.19993899999999987,0.19596400000000003,0.1870719999999999
2017-11-01,120.994,120.8941,121.2004,119.696,121.506,121.4671,120.4376,0.013750829473627713,0.01167880768377838,0.01616808639077072,0.0152108604899297,0.012601473908256944,0.015641775170490035,0.014577043346991614,0.20994000000000002,0.20894100000000004,0.21200400000000008,0.19696000000000002,0.21506000000000003,0.21467100000000006,0.2043760000000001
2017-12-01,124.7956,125.0392,124.9703,122.2757,124.313,125.5295,123.4627,0.031419739821809234,0.03428703303138869,0.031104682822828966,0.021552098649913143,0.02310173983177788,0.033444447097197516,0.025117571256816795,0.24795599999999984,0.25039199999999995,0.249703,0.2227570000000001,0.24313000000000007,0.25529500000000005,0.23462699999999992
2018-01-01,126.9887,127.0147,127.3092,124.7172,126.6479,127.4142,126.6303,0.01757353624647018,0.015799045419356617,0.018715646837688782,0.019967172545321876,0.01878242822552756,0.015014000693064133,0.025656331831395374,0.01757353624647018,0.015799045419356617,0.018715646837688782,0.019967172545321876,0.01878242822552756,0.015014000693064133,0.025656331831395374
2018-02-01,130.0606,130.2913,130.294,127.2934,129.236,130.773,129.2057,0.024190341345332378,0.025797014046405664,0.02344528125225831,0.020656332887524664,0.02043539608631484,0.02636126899513558,0.020337944394035246,0.04218898743224919,0.042003627662365206,0.04259972169387449,0.04103595399576543,0.03960165067209376,0.04177105779916279,0.04651607327557228
2018-03-01,133.1054,133.5028,132.8261,130.3843,133.248,133.5455,133.2304,0.023410625508416993,0.02464861429734766,0.01943374215236293,0.02428169881549236,0.031043981553127598,0.021200859504637792,0.031149554547516,0.06658728352602172,0.06768757317705187,0.0628613358533987,0.06631407548678925,0.07187502513815924,0.06385749963156084,0.07911458278492223
2018-04-01,136.7512,136.938,136.6295,133.8357,137.0205,138.0246,136.8583,0.027390323758465174,0.025731295523389708,0.028634432539990318,0.026470978484372854,0.02831186959654186,0.03353987966648053,0.027230271769806302,0.09580145453846134,0.09516055764912124,0.09329576707425691,0.09454045243658382,0.1022218110736608,0.09953915215148634,0.10849916614491684
2018-05-01,139.5893,139.58,139.6555,137.2536,140.178,140.5213,139.5783,0.020753748413176565,0.01929340285384651,0.022147486450583287,0.025538029090892866,0.02304399706613247,0.0180888044594949,0.019874570997886032,0.11854344223674573,0.11628993147748878,0.11750952026201422,0.12249285835206836,0.1276214072542694,0.11942850087031331,0.13053011152356153
2018-06-01,144.8053,145.0582,144.8408,141.5055,144.9444,145.6472,144.143,0.03736676091935398,0.039247743229688936,0.037129221548739766,0.030978422423892704,0.03400248255789062,0.03647774394344494,0.03270350763693197,0.16033978762071732,0.16010179207800435,0.15900177882264832,0.15726591628590159,0.16596333448633693,0.160262727088055,0.16750241165955382
2018-07-01,149.2966,149.1178,149.6247,146.3416,149.9066,150.9503,148.7858,0.031016129934470893,0.02798600837456955,0.03302867700261247,0.034176056761044515,0.034235196392547795,0.03641058667794517,0.03220968066434016,0.1963290372416977,0.19256841054645268,0.19728207422083477,0.19681670192851075,0.20588031822898656,0.20250857368188346,0.20510729151395513
2018-08-01,155.1034,155.1747,155.2167,152.1739,155.8659,156.0822,154.2103,0.038894388753662135,0.0406182226400873,0.03737350851831289,0.039854012802921446,0.03975341979605984,0.033997282549289354,0.03645845235230771,0.24285952389347054,0.24100841975956344,0.2420287060205506,0.2445146500899198,0.2538181847433496,0.2433905974292896,0.24904363828103548
2018-09-01,165.2383,165.4903,165.0633,163.3,165.1776,166.7562,164.3327,0.06534286160071301,0.0664773316784244,0.06343776152952607,0.0731143776955181,0.05974173953379158,0.06838704221237268,0.06564023285085363,0.32407152175236953,0.3235073480956372,0.32082022688590817,0.33550656426419967,0.328723464159018,0.32842240270215384,0.33103115353868007
2018-10-01,174.1473,173.8549,174.6171,171.25,173.9582,176.6713,173.8678,0.05391607151610733,0.05054435214631914,0.057879613457382684,0.04868340477648503,0.053158539656708914,0.059458658808487996,0.058023144511104574,0.39546025661161144,0.39040316956602394,0.397268791064757,0.40052357091392654,0.3993564631213147,0.40740861709797294,0.4082617665092372
2018-11-01,179.6388,178.877,180.3503,176.4283,179.6479,183.1394,181.1502,0.0315336499618426,0.02888673255686225,0.03283298142049085,0.030238248175182614,0.03270728255408484,0.036610926619094375,0.041884696303743585,0.4394642118792651,0.43056737407149126,0.44314529132121794,0.4428729502264146,0.44512561035450826,0.45893515070162794,0.4672463829156499
2018-12-01,184.2552,183.9381,184.508,180.7718,183.718,187.7085,185.9051,0.02569823445714392,0.02829374374570226,0.02305346872170433,0.02461906621556742,0.02265598428926796,0.024948754882892388,0.026248383937748754,0.4764559006888065,0.47104348076443237,0.4764147961555667,0.4783951349286899,0.47786635347871886,0.4953337661665185,0.5057592293056932
2019-01-01,189.6101,189.1236,189.805,186.9737,189.6231,193.2068,191.5466,0.029062409093474573,0.028191549222265744,0.02870878227502338,0.03430789536863599,0.03214219619198988,0.029291694302602256,0.030346128212727974,0.029062409093474573,0.028191549222265744,0.02870878227502338,0.03430789536863599,0.03214219619198988,0.029291694302602256,0.030346128212727974
2019-02-01,196.7501,196.3597,196.6309,195.4282,197.617,200.5139,197.2864,0.03765622189957196,0.03826122176185298,0.035962698559047324,0.04521758942567855,0.04215678364081166,0.03782009742928305,0.02996555407404755,0.06781301151880648,0.06753141410072194,0.06570392611702469,0.08107680512115278,0.07565399144340779,0.0682196064642786,0.061221020832672
2019-03-01,205.9571,205.7679,205.5131,205.486,207.2604,209.4128,205.753,0.04679540188289599,0.047913090109630296,0.0451719439823548,0.05146544869164216,0.048798433333164803,0.04438046439673249,0.0429152744436514,0.11778175052861473,0.11868014293939111,0.11384384416935855,0.13671490796683972,0.12814422103441148,0.11562768867685813,0.10676361218707808
2019-04-01,213.0517,212.4469,213.0489,212.6973,214.7732,216.4238,213.0509,0.03444697949233122,0.03245890150990505,0.03666822212306653,0.03509387500851657,0.03624812072156569,0.03347932886623939,0.035469227666182324,0.1562859555659759,0.15499127152014736,0.15468651765777097,0.1766066388673455,0.1690373289498035,0.1529781549583531,0.14601966272038802
2019-05-01,219.5691,218.8793,219.3378,218.6002,223.0958,222.662,220.3443,0.030590696999836187,0.030277683505854913,0.029518575312991402,0.027752585481809033,0.03875064486630553,0.028824001796475374,0.0342331339600066,0.19165754887786068,0.18996173169125918,0.18877121859214774,0.20926051519097544,0.21433827931939176,0.18621159936816944,0.18525150735509666
2019-06-01,225.537,224.6105,225.5013,224.9806,229.3958,228.5075,226.4422,0.02718005402399526,0.026184294266291985,0.028100491570536512,0.029187530478014256,0.028238989707560558,0.026252795717275346,0.027674416810419045,0.22404686543446273,0.22112003983948947,0.2221762741994926,0.2445558433339714,0.24862996549058902,0.21735297016384458,0.21805265159481912
2019-07-01,230.494,229.4286,230.5038,229.1739,233.932,234.9103,232.2018,0.02197865538692101,0.021450911689346652,0.022183907587229212,0.018638495941427857,0.019774555593432774,0.028020086868046024,0.025435188317371793,0.25094976966728755,0.24731417797617783,0.24928891972163814,0.2677524923688317,0.2733210681588085,0.25146330613690915,0.24903405016860747
2019-08-01,239.6077,238.3069,239.3972,239.3993,243.6348,245.1846,242.0023,0.03953985787048686,0.038697442254366,0.038582444193978604,0.044618518950020114,0.04147701041328267,0.04373712008370845,0.04220682182480928,0.3004121457630504,0.2955820463514629,0.29748953974895387,0.3243177309735257,0.3261346193622836,0.3061987070377741,0.3017518077771937
2019-09-01,253.7102,252.1482,253.889,254.215,257.8353,259.466,254.7349,0.05885662272122305,0.05808182641795101,0.060534542592812324,0.06188698129025427,0.05828600840274056,0.05824754083249939,0.05261354954064501,0.3769500128083223,0.37083181787786224,0.37603247555661534,0.40627575761263635,0.4034297129295987,0.38228156956131465,0.3702415910053032
2019-10-01,262.0661,260.2101,262.6467,262.608,265.2024,269.1257,262.9941,0.032934820909841234,0.03197286357784823,0.03449420809881487,0.03301536101331548,0.028572891299213143,0.037229155265044334,0.03242272652863809,0.422299614881968,0.41466123657904497,0.4234976261191927,0.45270445943449134,0.443529757563222,0.4337427447345219,0.41466855938863434
2019-11-01,273.2158,270.8019,274.4483,273.8915,275.4348,281.2769,274.9526,0.04254537309480311,0.040704799698397576,0.044933364858572356,0.0429670840187657,0.03858336123654982,0.045150648934680016,0.04547060181197993,0.4828118826497163,0.47224473885508234,0.48746016432891803,0.5151229339974486,0.49922598765499293,0.4984771600646749,0.4789943901485221
